hazard_id,hazard,cause,potential_harm,initial_severity,controls,residual_risk,owner,status
HZ-015,Incorrect slice ordering,Missing or ambiguous ordering metadata,Incorrect downstream volume construction,High,Ordering strategy reporting and validation findings,Medium,imaging-engineering,Open
HZ-016,Mixed study or series ingestion,Input directory contains multiple incompatible groups,Invalid validation or de-identification assumptions,High,Study and series grouping validation,Medium,imaging-engineering,Open
HZ-017,Unsupported transfer syntax,Compressed or unsupported DICOM encoding,Unreadable pixel data or validation failure,Medium,Transfer-syntax validation finding,Low,imaging-engineering,Open
HZ-018,Accidental source overwrite,Output path points to source file,Data loss,High,In-place overwrite refusal and explicit output directory,Low,platform-engineering,Open
HZ-019,Sensitive identifier leakage through logs or audits,Removed values written to outputs,Privacy breach,High,Audit records include tag names and hashes only,Medium,data-governance,Open
HZ-020,False assurance from passing quality score,Engineering score mistaken for clinical quality,Unsafe reliance on non-clinical output,High,Documentation states score is not diagnostic adequacy,Medium,clinical-ai-governance,Open
HZ-021,Incorrect missing-slice inference,Irregular metadata interpreted too strongly,Incorrect downstream completeness assumption,Medium,Reports include inference limitations,Medium,imaging-engineering,Open
HZ-022,Unrecognised body-region metadata,Vendor-specific or missing body part terms,Incorrect inclusion or warning fatigue,Medium,Configurable allowlist and warning findings,Low,imaging-engineering,Open
HZ-023,Decoding errors,Unsupported or corrupt pixel encoding,Quality checks miss pixel issue,High,Pixel decode findings and transfer syntax reporting,Medium,imaging-engineering,Open
HZ-024,Constant or corrupt images accepted,Technical pixel issue not escalated,Invalid downstream analysis,High,Pixel integrity checks and score deductions,Medium,imaging-engineering,Open
HZ-025,Burned-in PHI not declared in metadata,BurnedInAnnotation absent or inaccurate,Privacy breach,High,Warnings state metadata cannot guarantee absence of pixel PHI,High,data-governance,Open
HZ-026,Critical findings not stopping downstream processing,Pipeline ignores rejected status,Unsafe continuation,High,Critical rules force REJECTED status and CLI exit code 3,Medium,platform-engineering,Open
HZ-027,Incorrect DICOM stacking,Ambiguous or duplicate ordering metadata,Invalid downstream volume geometry,High,Single-series selection plus ordering issue rejection and SOP UID index map,Medium,imaging-engineering,Open
HZ-028,Axis convention misinterpreted,Array consumers assume a different axis order,Incorrect measurements or visualisation,High,Metadata records axis_order z-y-x and spacing z-y-x,Medium,imaging-engineering,Open
HZ-029,Incorrect rescale slope or intercept,Missing or invalid DICOM rescale metadata,Invalid CT-like intensity values,High,Per-slice conversion trace defaults and invalid numeric rejection,Medium,imaging-engineering,Open
HZ-030,Unreliable slice spacing,Missing or irregular Image Position Patient metadata,Incorrect volumetric assumptions,High,Projected spacing provenance fallback flags and no resampling claim,Medium,imaging-engineering,Open
HZ-031,Geometry loss during preprocessing,Orientation metadata omitted from outputs,Future registration or NIfTI export uses incomplete context,High,Direction cosines positions normal and spacing source recorded,Medium,imaging-engineering,Open
HZ-032,Destructive engineering crop,Configured crop removes relevant anatomy or all voxels,Invalid downstream analysis,High,Crop bounds validation empty-output refusal and crop offset metadata,Medium,imaging-engineering,Open
HZ-033,Padding metadata omitted,Downstream logic treats padded voxels as source anatomy,Incorrect analysis,Medium,Pad widths padding value and output shape recorded,Low,imaging-engineering,Open
HZ-034,Quality override misuse,Blocking quality failure bypassed without traceability,Unsafe continuation,High,Override must be explicit allowed and recorded with QC status,Medium,platform-engineering,Open
HZ-035,Sensitive metadata leakage in preprocessing outputs,Source identifiers copied into metadata or reports,Privacy breach,High,Technical metadata only output checks and ignored processed data,Medium,data-governance,Open
HZ-036,False assurance from preprocessing report,Engineering volume report mistaken for diagnostic preprocessing,Unsafe reliance on derived artefact,High,Reports and docs state non-diagnostic no registration no clinical standardisation,Medium,clinical-ai-governance,Open
HZ-037,Fixed and moving scan reversal,User assigns roles incorrectly,Transform direction or comparison is misleading,High,CLI requires explicit fixed and moving inputs and records direction,Medium,imaging-engineering,Open
HZ-038,Incorrect registration study pairing,Unrelated preprocessed volumes are paired,Invalid longitudinal comparison,High,Registration records fixed and moving study and series UIDs plus temporal labels,Medium,data-governance,Open
HZ-039,Registration to wrong local optimum,Optimiser converges to poor alignment,Misleading overlay or difference artefact,High,Metrics quality gates and human review warnings,Medium,imaging-engineering,Open
HZ-040,Transform direction error,SimpleITK transform convention misunderstood,Moving image resampled incorrectly,High,Direction documented as moving into fixed space and tests validate known translation,Medium,imaging-engineering,Open
HZ-041,Axis or spacing conversion error,NumPy z-y-x and SimpleITK x-y-z conventions confused,Incorrect physical transform,High,Conversion tests spacing mapping and reports geometry provenance,Medium,imaging-engineering,Open
HZ-042,Excessive translation or rotation,Optimiser returns implausible rigid transform,Invalid downstream analysis,High,REG-QC-TRN-001 and REG-QC-ROT-001 quality gates,Medium,imaging-engineering,Open
HZ-043,Implausible affine scaling or shear,Affine stage distorts anatomy,False alignment confidence,High,REG-QC-AFF-001 scale shear and singularity checks,Medium,imaging-engineering,Open
HZ-044,Metric improvement despite anatomical misalignment,Similarity metric rewards wrong structure,False assurance,High,Reports state metrics are not clinical proof and require human review,Medium,clinical-ai-governance,Open
HZ-045,Interpolation artefacts,Registration resampling changes intensity appearance,Misleading review artefact,Medium,Interpolation type recorded and outputs labelled engineering artefacts,Low,imaging-engineering,Open
HZ-046,Rejected registration not stopped,Pipeline ignores critical registration finding,Unsafe downstream use,High,REJECTED and FAIL statuses map to non-zero CLI exit codes,Medium,platform-engineering,Open
HZ-047,Loss of registration geometry provenance,Transform exported without source geometry context,Untraceable spatial relationship,High,Metadata records preprocessing geometry role metadata and transform parameters,Medium,imaging-engineering,Open
HZ-048,False confidence from synthetic validation,Controlled translation results overgeneralised to real CT,Unsupported performance claim,High,Docs state synthetic recovery does not prove real-world performance,Medium,clinical-ai-governance,Open
HZ-049,Left/right localisation reversal,Atlas prediction or labels assign side incorrectly,Downstream research analysis uses wrong side,High,Separate side outputs plus LOC-QC-SWP-001 swap detection and human review,Medium,imaging-engineering,Open
HZ-050,Incorrect ROI centre,Configured atlas centre does not cover placeholder target,Invalid downstream crop or misleading review artefact,High,LOC-QC-CEN-001 centre-distance checks on synthetic labels and report warnings,Medium,machine-learning,Open
HZ-051,ROI outside configured target,Bounding box misses synthetic placeholder,Invalid downstream engineering sample,High,LOC-QC-COV-001 coverage and LOC-QC-BND-001 IoU gates,Medium,machine-learning,Open
HZ-052,Excessive boundary padding,Atlas centre near volume edge or incompatible ROI size,ROI dominated by padding,Medium,LOC-QC-PAD-001 padding fraction threshold and metadata,Low,imaging-engineering,Open
HZ-053,Upstream registration error propagation,Localisation consumes poor registration output,False confidence in downstream registered ROI,High,Registration status validation and upstream override propagation through LOC-QC-OVR-001,Medium,imaging-engineering,Open
HZ-054,Geometry conversion error,Spacing or axis metadata invalid or misunderstood,Incorrect physical centre or bounding box,High,LOC-QC-GEO-001 rejects invalid geometry and reports z-y-x convention,Medium,imaging-engineering,Open
HZ-055,Atlas assumptions fail,Relative-coordinate placeholder does not match real anatomy,Unsupported clinical inference,High,Research-only limitation and no anatomical correctness claim,Medium,clinical-ai-governance,Open
HZ-056,Coordinate reverse mapping error,ROI metadata not traceable back to source volume,Unreviewable downstream artefact,Medium,Crop offsets bounds spacing and checksums recorded in localisation JSON,Low,imaging-engineering,Open
HZ-057,False confidence from synthetic localisation,Synthetic fixture success overgeneralised to real CT,Unsupported performance claim,High,Docs state synthetic masks are engineering placeholders only,Medium,clinical-ai-governance,Open
HZ-058,Downstream use after failed localisation,Pipeline ignores FAILED or REJECTED status,Unsafe research continuation,High,Non-zero CLI exit codes for FAILED and REJECTED plus recommended next action,Medium,platform-engineering,Open
HZ-059,Training/test leakage,Same research subject appears in multiple splits,Inflated model evidence,High,Subject-level split validation and SEG-QC-SPLIT-001,Medium,machine-learning,Open
HZ-060,Incorrect mask alignment,Image and lesion mask transforms diverge,Invalid supervision or metrics,High,Aligned MONAI dictionary transforms and shape/binary tests,Medium,machine-learning,Open
HZ-061,Overfitting synthetic patterns,Tiny model memorises simplified fixture structure,Unsupported generalisation claim,High,Model card and reports state synthetic-only limitations,Medium,clinical-ai-governance,Open
HZ-062,False-negative segmentation,Model misses synthetic lesion voxels,Downstream research misses target signal,High,Recall metrics failure cases and mandatory human review,Medium,machine-learning,Open
HZ-063,False-positive segmentation,Model predicts lesion where none exists,Misleading downstream research sample,Medium,False-positive voxel gate SEG-QC-FP-001 and negative-case metrics,Low,machine-learning,Open
HZ-064,Empty prediction accepted,Thresholding or model output produces no positive voxels,False reassurance from blank mask,High,Inference warnings metrics and human oversight documentation,Medium,machine-learning,Open
HZ-065,Incorrect thresholding,Probability threshold unsuitable for model logits,Invalid binary mask,Medium,Configured threshold recorded in inference metadata and quality evidence,Low,machine-learning,Open
HZ-066,Post-processing removes valid lesion voxels,Component filtering or hole filling deletes target voxels,False-negative segmentation,High,Post-processing operations and voxel counts recorded with warnings,Medium,machine-learning,Open
HZ-067,Checkpoint/configuration mismatch,Checkpoint loaded with incompatible architecture,Invalid inference or failed run,Medium,State-dict-only checkpoints plus architecture/config manifest validation,Low,mlops,Open
HZ-068,Localisation error propagation,Future ROI localisation error feeds segmentation,Invalid segmentation crop,High,Localisation provenance and upstream status retained with human review requirement,Medium,imaging-engineering,Open
HZ-069,Synthetic metrics misrepresented as clinical evidence,Engineering Dice reported as clinical performance,Unsafe claim or misuse,High,Research-only reports model card and governance limitations,Medium,clinical-ai-governance,Open
HZ-070,Downstream use after failed segmentation gates,FAILED or REJECTED experiment used anyway,Unsafe research continuation,High,Non-zero CLI exit codes and recommended next action in evidence,Medium,platform-engineering,Open
HZ-071,Classification label leakage,Same research subject appears across classification splits,Inflated classification evidence,High,Subject-level split validation and CLS-QC-SPLIT-001,Medium,machine-learning,Open
HZ-072,Classification class imbalance,Derived ROI labels are not balanced by split,Poor sensitivity or false reassurance,High,Binary split validation positive class weighting and class-count evidence,Medium,machine-learning,Open
HZ-073,Miscalibrated classification probabilities,Tiny synthetic validation set or unsuitable calibration,Incorrect confidence interpretation,High,Validation-only calibration artefact diagnostics and fallback status,Medium,machine-learning,Open
HZ-074,Incorrect classification threshold,Threshold policy selected from unsuitable validation evidence,Excessive false positives or false negatives,High,Validation-only threshold evidence and quality gates,Medium,machine-learning,Open
HZ-075,False-negative classification,Classifier predicts no synthetic lesion when lesion is present,Downstream research misses target signal,High,Recall false-negative counts and mandatory human review,Medium,machine-learning,Open
HZ-076,False-positive classification,Classifier predicts synthetic lesion where none is present,Misleading downstream research sample,Medium,False-positive counts threshold policy and review requirement,Low,machine-learning,Open
HZ-077,Abstention policy misuse,Indeterminate interval too narrow too broad or ignored,False confidence or excessive unusable outputs,Medium,Configured abstention bounds evidence and human review,Low,machine-learning,Open
HZ-078,Checkpoint calibration threshold mismatch,Inference combines artefacts from incompatible runs,Invalid probability or label output,High,Checksum manifest validation and explicit calibration threshold inputs,Medium,mlops,Open
HZ-079,Synthetic classification metrics misrepresented as clinical evidence,Engineering AUROC or calibration reported as clinical performance,Unsafe claim or misuse,High,Research-only reports model card and governance limitations,Medium,clinical-ai-governance,Open
HZ-080,Downstream use after failed classification gates,FAILED or REJECTED experiment used anyway,Unsafe research continuation,High,Non-zero CLI exit codes and recommended next action in evidence,Medium,platform-engineering,Open
HZ-081,Incorrect previous/current pairing,Wrong studies or masks paired for longitudinal analysis,Invalid synthetic change label,High,Explicit pair metadata and LNG-QC-PAIR-001,Medium,data-governance,Open
HZ-082,Temporal-order reversal,Current mask supplied as previous or previous as current,New and resolved labels inverted,High,Temporal validation and LNG-QC-TIME-001,Medium,imaging-engineering,Open
HZ-083,Left/right mismatch,Anatomical side metadata or inputs disagree,Wrong lesion comparison,High,Side validation and LNG-QC-SIDE-001,Medium,imaging-engineering,Open
HZ-084,Registration error propagation,Poor alignment feeds matching and change calculations,False synthetic change signal,High,Registration status propagation and indeterminate forcing,Medium,imaging-engineering,Open
HZ-085,Segmentation error propagation,Incorrect masks feed measurements and matching,False synthetic change signal,High,Segmentation status propagation and indeterminate forcing,Medium,machine-learning,Open
HZ-086,Ambiguous lesion matching,Multiple candidate lesions have similar match scores,Incorrect one-to-one assignment,Medium,Ambiguous match flag and LNG-QC-MATCH-001,Medium,machine-learning,Open
HZ-087,Incorrect physical spacing,Spacing metadata wrong or incompatible,Incorrect volumes diameters or displacement,High,Spacing validation geometry gate and provenance,Medium,imaging-engineering,Open
HZ-088,Volume-change instability,Small or noisy masks create unstable percentage changes,Misleading increased or reduced label,Medium,Small-denominator policy and explicit null percentage changes,Low,machine-learning,Open
HZ-089,Small denominator inflation,Near-zero previous volume inflates percentage change,False increased label,Medium,Configurable small_denominator_mm3 and evidence reporting,Low,machine-learning,Open
HZ-090,New or resolved misclassification,Missed match or mask error creates unmatched lesion label,Misleading synthetic change label,High,Match evidence unmatched records and human review,Medium,machine-learning,Open
HZ-091,Classification abstention bypass,Abstained classifier treated as confident longitudinal evidence,False confidence,High,Abstention propagation can force indeterminate,Medium,machine-learning,Open
HZ-092,Synthetic change labels presented as clinical progression,Engineering labels interpreted as disease progression or treatment response,Unsafe clinical claim,High,Research-only reports governance limitations and docs,Medium,clinical-ai-governance,Open
HZ-093,Unrestricted API file access,API accepts arbitrary local paths,Privacy breach or unintended file disclosure,High,Configured input and evidence roots plus traversal checks,Medium,platform-engineering,Open
HZ-094,API path traversal,Encoded or relative path escapes allowed roots,Privacy breach or artefact tampering,High,Root containment checks and invalid evidence identifier rejection,Medium,platform-engineering,Open
HZ-095,API symlink escape,Symlink inside allowed root points outside root,Privacy breach or unauthorized input use,High,Symlink input rejection before resolution,Medium,platform-engineering,Open
HZ-096,Oversized API input denial of service,Large request body or array exhausts memory,Service interruption,Medium,Request byte and array byte limits,Low,platform-engineering,Open
HZ-097,Malformed NumPy array execution risk,Pickled or invalid NumPy input is loaded,Code execution or service failure,High,np.load allow_pickle false and array validation,Medium,platform-engineering,Open
HZ-098,API model checkpoint mismatch,Configured checkpoint incompatible with model config,Invalid inference or failed service,Medium,Readiness checks checksums and API-INTEGRITY-409,Low,mlops,Open
HZ-099,API calibration or threshold mismatch,Classifier combines unrelated artefacts,Invalid probability label or abstention,High,Configured calibration and threshold artefact checksums,Medium,mlops,Open
HZ-100,API evidence checksum failure,Review endpoint returns tampered evidence,Incorrect research review evidence,High,Evidence validators and API-INTEGRITY-409,Medium,platform-engineering,Open
HZ-101,API upstream quality bypass,Failed upstream registration segmentation or classification ignored,False confidence in longitudinal output,High,Upstream quality propagation in API requests and responses,Medium,clinical-ai-governance,Open
HZ-102,API classification abstention bypass,Indeterminate classifier output treated as confident,False confidence in downstream research label,High,Abstention status propagation and human oversight docs,Medium,machine-learning,Open
HZ-103,Sensitive API logging,Inputs paths identifiers or errors leak through logs,Privacy breach,High,Sanitized errors request IDs and no raw array logging,Medium,platform-engineering,Open
HZ-104,Overexposed API review evidence,Review endpoint returns absolute paths or raw manifests,Privacy breach or local environment disclosure,High,Bounded review summaries and public provenance filtering,Medium,data-governance,Open
HZ-105,Internet exposure of local API,Service bound to external interface without controls,Unauthorized access,High,Localhost default and external bind policy gate,Medium,platform-engineering,Open
HZ-106,API output misrepresented as clinical advice,Research summaries used for diagnosis or patient management,Unsafe clinical decision,High,Disclaimers docs intended-use limits and human oversight,Medium,clinical-ai-governance,Open
HZ-107,Reviewer UI used while API is not ready,Readiness failure ignored or hidden,Unsafe engineering review continuation,High,Overview readiness display and UI-QC-API-001,Medium,platform-engineering,Open
HZ-108,Model output mistaken for reviewer decision,UI visually merges model result and human decision,Automation bias or incorrect review record,High,Separate reviewer decision model and workflow docs,Medium,clinical-ai-governance,Open
HZ-109,Reviewer decision mistaken for clinical approval,Engineering decision interpreted as clinical sign-off,Unsafe clinical reliance,High,Research-only labels and governance disclaimers,Medium,clinical-ai-governance,Open
HZ-110,Abstention hidden or minimised,Indeterminate classifier display is not prominent,False confidence in binary result,High,Classification formatting preserves abstention and UI-QC-ABS-001,Medium,machine-learning,Open
HZ-111,Quality failure visually obscured,Failed quality gate shown as usable output,Unsafe downstream engineering use,High,Quality components and UI-QC-QUALITY-001 display requirements,Medium,platform-engineering,Open
HZ-112,Stale session result reused,Input changes but previous response remains visible,Incorrect reviewer decision on stale evidence,Medium,Explicit session reset controls and no sensitive request caching,Low,platform-engineering,Open
HZ-113,Unsafe NumPy upload,Pickled or malformed NumPy file uploaded to UI,Code execution or service failure,High,np.load allow_pickle false and upload validation,Medium,platform-engineering,Open
HZ-114,Oversized reviewer upload,Large upload exhausts memory or slows UI,Service interruption,Medium,Upload byte limit before processing and UI-QC-SIZE-001,Low,platform-engineering,Open
HZ-115,Remote API endpoint misconfiguration,Reviewer UI points to untrusted or internet API,Data leakage or wrong service results,High,Loopback default and remote API policy rejection,Medium,platform-engineering,Open
HZ-116,Sensitive reviewer notes logged,Review notes contain identifiers or are logged,Privacy breach,High,Note validation and no reviewer-note logging policy,Medium,data-governance,Open
HZ-117,Reviewer export path escape,Review export writes outside configured directory,Data leakage or local file overwrite,High,Safe output path containment and overwrite protection,Medium,platform-engineering,Open
HZ-118,Tampered evidence displayed,Evidence integrity failure not shown clearly,Misleading review evidence,High,Governed review API validation and UI error display,Medium,platform-engineering,Open
HZ-119,Raw model artefacts exposed,UI displays checkpoint binaries or weights,IP leakage or misuse,Medium,Bounded API summaries and export filtering,Low,mlops,Open
HZ-120,Synthetic output represented as patient evidence,Reviewer UI screenshots or exports imply real patient findings,Unsafe claim or privacy confusion,High,Research-only disclaimers and synthetic-only documentation,Medium,clinical-ai-governance,Open
HZ-121,Container running as root,Runtime image or Compose user is root,Privilege escalation or broader filesystem damage,High,UID/GID 10001 validation Dockerfile checks and Compose user policy,Medium,platform-engineering,Open
HZ-122,Writable root filesystem,Container root filesystem is writable,Undetected runtime mutation or tampering,Medium,Compose read_only policy and writable mount documentation,Low,platform-engineering,Open
HZ-123,Excess Linux capabilities,Container retains default Linux capabilities,Privilege escalation,High,cap_drop ALL and static Compose inspection,Medium,platform-engineering,Open
HZ-124,Docker socket exposure,Compose mounts host Docker socket,Host compromise through container,High,Docker socket prohibited in Compose inspection,Medium,platform-engineering,Open
HZ-125,Secrets embedded in image,Environment files credentials or keys copied into image,Credential disclosure,High,.dockerignore scanner hooks and image-content policy,Medium,security,Open
HZ-126,Checkpoints embedded in image,Generated model weights copied into runtime image,Uncontrolled model distribution or stale artefacts,High,Dockerfile checks and read-only checkpoint mounts,Medium,mlops,Open
HZ-127,Vulnerable dependency,Runtime Python dependency has high severity vulnerability,Service compromise or unreliable release,High,pip-audit hook and severity gate,Medium,security,Open
HZ-128,Vulnerable base image,Base image has high severity vulnerability,Service compromise,High,Trivy image scan hook and explicit base tags,Medium,security,Open
HZ-129,Missing SBOM,Release evidence lacks software bill of materials,Incomplete release traceability,Medium,Syft SBOM generation hook and release evidence docs,Low,platform-engineering,Open
HZ-130,Scanner unavailable or bypassed,Required scanner missing or skipped without evidence,False assurance,Medium,Tool-unavailable statuses and release manifest recording,Low,platform-engineering,Open
HZ-131,Health check passes while readiness fails,Container health route succeeds but artefacts are unavailable,Reviewer UI uses unready service,High,Smoke tests also check readiness and UI warnings remain visible,Medium,platform-engineering,Open
HZ-132,API UI version mismatch,Reviewer UI container calls incompatible API container,Contract mismatch or misleading evidence,Medium,Version route and release manifest image inventory,Low,platform-engineering,Open
HZ-133,Reviewer UI connects to wrong API,Compose or config points UI to unintended API,Incorrect evidence or data disclosure,High,Compose service-name config and container UI config validation,Medium,platform-engineering,Open
HZ-134,Unbounded container resources,Containers run without CPU or memory limits,Local workstation denial of service,Medium,Compose mem_limit cpus and config validation,Low,platform-engineering,Open
HZ-135,Sensitive logs captured in release evidence,Smoke logs contain raw arrays identifiers or secrets,Privacy or credential disclosure,High,Output sanitisation and no raw payload logging policy,Medium,data-governance,Open
HZ-136,Unsigned local image treated as trusted release,Local image confused for approved production release,Unsafe operational reliance,High,Research-only release disclaimer and no publication policy,Medium,clinical-ai-governance,Open
HZ-137,Release manifest mismatch,Manifest checksums or image metadata do not match artefacts,Invalid release evidence,Medium,Checksum manifest validation and deterministic release IDs,Low,platform-engineering,Open
HZ-138,Synthetic container output represented as clinical software,Local smoke output presented as clinical capability,Unsafe claim or misuse,High,Research-only documentation and intended-use limits,Medium,clinical-ai-governance,Open
HZ-139,Automatic model promotion,Registered candidate treated as approved without human metadata,Uncontrolled model use,High,Registry lifecycle rules and explicit approval metadata,Medium,mlops,Open
HZ-140,Monitoring drift overclaim,Synthetic drift alert described as clinical performance deterioration,Unsafe clinical inference,High,Research-only monitoring report and human investigation policy,Medium,clinical-ai-governance,Open
HZ-141,Audit PHI leakage,Audit metadata contains patient identifiers or raw arrays,Privacy breach,High,Audit schema rejects PHI-sensitive fields and raw payload keys,Medium,data-governance,Open
HZ-142,Stale registry evidence,Registry manifest does not match current checkpoint or config checksums,Invalid governance evidence,Medium,Checksum recording and validation tests,Low,mlops,Open
HZ-143,Public inference exposure,Kubernetes Service or Ingress exposes API publicly by default,Unauthorised inference access,High,ClusterIP defaults Ingress disabled and policy validation rejects public exposure,Medium,platform-engineering,Open
HZ-144,Privileged Kubernetes workload,Pod runs privileged root writable container,Cluster compromise,High,Helm security contexts and static policy checks for non-root read-only cap-drop,Medium,security,Open
HZ-145,Missing runtime deployment evidence,Kubernetes evidence marked pass without smoke execution,False assurance,Medium,UNAVAILABLE/INCOMPLETE statuses and no false PASS evidence validation,Low,platform-engineering,Open
HZ-146,Secret leakage in Helm values,Real credentials committed to chart values,Credential disclosure,High,Secret references only and no active secret values in manifests,Medium,security,Open
HZ-147,AWS Terraform mistaken for live clinical deployment,Static target-state IaC represented as deployed clinical infrastructure,Unsafe assurance claim,High,Docs and evidence state no terraform apply and no live clinical service,Medium,clinical-ai-governance,Open
HZ-148,Public AWS inference exposure,Cloud load balancer or EKS endpoint exposes inference by default,Unauthorised inference access,High,Private EKS endpoint public ingress disabled and policy checks reject unsafe defaults,Medium,security,Open
HZ-149,CloudTrail substituted for application audit,Control-plane audit treated as reviewer or model audit evidence,Loss of application traceability,Medium,Docs and evidence separate CloudTrail from application audit logs,Low,platform-engineering,Open
HZ-150,Unexpected AWS cost from validation defaults,NAT EKS or load balancer resources created without cost review,Unexpected spend,Medium,No apply target NAT disabled by default and cost-driver evidence required,Low,platform-engineering,Open
